Spine #,Title,Director,Year,DVD,Blu‑ray,Blu-Ray/DVD Combo,4K UHD+Blu-ray Combo,Collectors Sets,On Criterion Channel
926,Manila in the Claws of Light,Lino Brocka,1975,$23.96,$31.96,,,[],True
927,El Sur,Víctor Erice,1983,$23.96,$31.96,,,[],True
928,Bowling for Columbine,Michael Moore,2002,$23.96,$31.96,,,[],False
929,Female Trouble,John Waters,1974,$23.96,$31.96,,,[],False
930,Dietrich & von Sternberg in Hollywood,,,$99.96,Currently Unavailable,,,[],False
931,Morocco,Josef von Sternberg,1930,,,,,"['Dietrich & von Sternberg in Hollywood (Availability Unsure)', 'Dietrich & von Sternberg in Hollywood (Available)']",False
932,Dishonored,Josef von Sternberg,1931,,,,,"['Dietrich & von Sternberg in Hollywood (Availability Unsure)', 'Dietrich & von Sternberg in Hollywood (Available)']",False
933,Shanghai Express,Josef von Sternberg,1932,,,,,"['Dietrich & von Sternberg in Hollywood (Availability Unsure)', 'Dietrich & von Sternberg in Hollywood (Available)']",False
934,Blonde Venus,Josef von Sternberg,1932,,,,,"['Dietrich & von Sternberg in Hollywood (Availability Unsure)', 'Dietrich & von Sternberg in Hollywood (Available)']",False
935,The Devil Is a Woman,Josef von Sternberg,1935,,,,,"['Dietrich & von Sternberg in Hollywood (Availability Unsure)', 'Dietrich & von Sternberg in Hollywood (Available)']",False
936,Bull Durham,Ron Shelton,1988,$23.96,$31.96,,,[],False
937,Dragon Inn,King Hu,1967,$23.96,$31.96,,,[],True
938,"sex, lies, and videotape",Steven Soderbergh,1989,$23.96,$31.96,,,[],False
939,A Matter of Life and Death,Michael Powell and Emeric Pressburger,1946,$23.96,$31.96,,,[],False
940,The Ballad of Gregorio Cortez,Robert M. Young,1982,$23.96,$31.96,,,[],False
941,Smithereens,​Susan Seidelman,1982,$23.96,$31.96,,,[],True
942,The Tree of Life,Terrence Malick,2011,$31.96,$39.96,,,[],False
943,Memories of Underdevelopment,Tomás Gutiérrez Alea,1968,$23.96,$31.96,,,[],True
944,Cold Water,Olivier Assayas,1994,$23.96,$31.96,,,[],True
945,A Raisin in the Sun,Daniel Petrie,1961,$23.96,$31.96,,,[],False
946,Eight Hours Don’t Make a Day,Rainer Werner Fassbinder,1972,$31.96,$39.96,,,[],True
947,Shampoo,Hal Ashby,1975,$23.96,$31.96,,,[],False
948,The Princess Bride,Rob Reiner,1987,$23.96,$31.96,,$39.96,[],False
949,A Story from Chikamatsu,Kenji Mizoguchi,1954,$23.96,$31.96,,,[],True
950,Some Like It Hot,Billy Wilder,1959,$23.96,$31.96,,,[],False
951,True Stories,David Byrne,1986,$23.96,$39.96,,,[],False
952,The Magnificent Ambersons,Orson Welles,1942,$23.96,$31.96,,,[],False
953,A Dry White Season,Euzhan Palcy,1989,$23.96,$31.96,,,[],False
954,Forty Guns,Samuel Fuller,1957,$23.96,$31.96,,,[],False
955,Panique,Julien Duvivier,1946,$23.96,$31.96,,,[],True
956,24 Frames,Abbas Kiarostami,2017,$23.96,$31.96,,,[],True
957,Mikey and Nicky,Elaine May,1976,$23.96,$31.96,,,[],True
958,"4 Months, 3 Weeks and 2 Days",Cristian Mungiu,2007,$23.96,$31.96,,,[],False
959,In the Heat of the Night,Norman Jewison,1967,$23.96,$31.96,,,[],False
960,La vérité,Henri-Georges Clouzot,1960,$23.96,$31.96,,,[],False
961,Shame,Ingmar Bergman,1968,$23.96,$31.96,,,['Ingmar Bergman’s Cinema (Available)'],True
962,Death in Venice,Luchino Visconti,1971,$23.96,$31.96,,,[],False
963,To Sleep with Anger,Charles Burnett,1990,$23.96,$31.96,,,[],False
964,The Kid Brother,Ted Wilde,1927,$23.96,$31.96,,,[],True
965,Wanda,Barbara Loden,1970,$23.96,$31.96,,,[],True
966,Detour,Edgar G. Ulmer,1945,$23.96,$31.96,,,[],True
967,I Wanna Hold Your Hand,Robert Zemeckis,1978,$23.96,$31.96,,,[],False
968,Japón,Carlos Reygadas,2002,$23.96,$31.96,,,[],True
969,Diamonds of the Night,Jan Němec,1964,$23.96,$31.96,,,[],True
970,A Face in the Crowd,Elia Kazan,1957,$23.96,$31.96,,,[],False
971,Police Story,Jackie Chan,1985,,,,,"['Police Story/Police Story 2 (Available)', 'Police Story/Police Story 2 (Available)']",True
972,Police Story 2,Jackie Chan,1988,,,,,"['Police Story/Police Story 2 (Available)', 'Police Story/Police Story 2 (Available)']",True
973,My Brilliant Career,Gillian Armstrong,1979,$23.96,$31.96,,,[],True
974,The Heiress,William Wyler,1949,$23.96,$31.96,,,[],False
975,Funny Games,Michael Haneke,1997,$23.96,$31.96,,,[],True
976,Let the Sunshine In,Claire Denis,2017,$23.96,$31.96,,,[],True
977,Blue Velvet,David Lynch,1986,$23.96,$31.96,,,[],False
978,"One Sings, the Other Doesn’t",Agnès Varda,1977,$23.96,$31.96,,,['The Complete Films of Agnès Varda (Available)'],True
979,Swing Time,George Stevens,1936,$23.96,$31.96,,,[],False
980,La vie de Jésus,Bruno Dumont,1997,$23.96,$31.96,,,[],True
981,L’humanité,Bruno Dumont,1999,$23.96,$31.96,,,[],True
982,Hedwig and the Angry Inch,John Cameron Mitchell,2001,$23.96,$31.96,,,[],False
983,War and Peace,Sergei Bondarchuk,1966,$31.96,$39.96,,,[],True
984,1984,Michael Radford,1984,$23.96,$31.96,,,[],False
985,Europa Europa,Agnieszka Holland,1990,$23.96,$31.96,,,[],True
986,The Baker’s Wife,Marcel Pagnol,1938,$23.96,$31.96,,,[],True
987,Klute,Alan J. Pakula,1971,$23.96,$31.96,,,[],False
988,The Inland Sea,Lucille Carra,1991,$15.96,$23.96,,,[],True
989,The Flavor of Green Tea over Rice,Yasujiro Ozu,1952,$23.96,$31.96,,,[],True
990,Where Is the Friend’s House?,Abbas Kiarostami,1987,,,,,"['The Koker Trilogy (Available)', 'The Koker Trilogy (Available)']",True
991,And Life Goes On,Abbas Kiarostami,1992,,,,,"['The Koker Trilogy (Available)', 'The Koker Trilogy (Available)']",True
992,Through the Olive Trees,Abbas Kiarostami,1994,,,,,"['The Koker Trilogy (Available)', 'The Koker Trilogy (Available)']",True
993,The Cloud-Capped Star,Ritwik Ghatak,1960,$23.96,$31.96,,,[],True
994,Local Hero,Bill Forsyth,1983,$23.96,$31.96,,,[],False
995,Polyester,John Waters,1981,$23.96,$31.96,,,[],False
996,The Circus,Charles Chaplin,1928,$23.96,$31.96,,,[],True
997,Cluny Brown,Ernst Lubitsch,1946,$23.96,$31.96,,,[],False
998,When We Were Kings,Leon Gast,1996,$23.96,$31.96,,,[],True
999,Matewan,John Sayles,1987,$23.96,$31.96,,,[],False
1000,"Godzilla: The Showa-Era Films, 1954–1975",,,,$179.96,,,[],False
1001,The Daytrippers,Greg Mottola,1996,$23.96,$31.96,,,[],True
1002,Betty Blue,Jean-Jacques Beineix,1986,$23.96,$31.96,,,[],False
1003,All About Eve,Joseph L. Mankiewicz,1950,$23.96,$31.96,,,[],False
1004,"Now, Voyager",Irving Rapper,1942,$23.96,$31.96,,,[],False
1005,Cold War,Paweł Pawlikowski,2018,$23.96,$31.96,,,[],False
1006,The Story of Temple Drake,Stephen Roberts,1933,$23.96,$31.96,,,[],False
1007,Until the End of the World,Wim Wenders,1991,Currently Unavailable,$31.96,,,[],True
1008,Old Joy,Kelly Reichardt,2006,$23.96,$31.96,,,[],True
1009,Holiday,George Cukor,1938,$23.96,$31.96,,,[],False
1010,Le petit soldat,Jean-Luc Godard,1963,$23.96,$31.96,,,[],True
1011,Fail Safe,Sidney Lumet,1964,$23.96,$31.96,,,[],False
1012,All About My Mother,Pedro Almodóvar,1999,$23.96,$31.96,,,[],False
1013,Teorema,Pier Paolo Pasolini,1968,$23.96,$31.96,,,['Pasolini 101 (Available)'],True
1014,Roma,Alfonso Cuarón,2018,$23.96,$31.96,,,[],False
1015,Journey to the Beginning of Time,Karel Zeman,1955,,,,,"['Three Fantastic Journeys by Karel Zeman (Available)', 'Three Fantastic Journeys by Karel Zeman (Available)']",True
1016,Invention for Destruction,Karel Zeman,1958,,,,,"['Three Fantastic Journeys by Karel Zeman (Available)', 'Three Fantastic Journeys by Karel Zeman (Available)']",True
1017,The Fabulous Baron Munchausen,Karel Zeman,1962,,,,,"['Three Fantastic Journeys by Karel Zeman (Available)', 'Three Fantastic Journeys by Karel Zeman (Available)']",True
1018,Paris Is Burning,Jennie Livingston,1990,$23.96,$31.96,,,[],True
1019,Bamboozled,Spike Lee,2000,$23.96,$31.96,,,[],False
1020,Leave Her to Heaven,John M. Stahl,1945,$23.96,$31.96,,,[],False
1021,Show Boat,James Whale,1936,$23.96,$31.96,,,[],False
1022,The Prince of Tides,Barbra Streisand,1991,$23.96,$31.96,,,[],False
1023,The Cremator,Juraj Herz,1969,$23.96,$31.96,,,[],True
1024,Destry Rides Again,George Marshall,1939,$23.96,$31.96,,,[],False
1025,The Grand Budapest Hotel,Wes Anderson,2014,$23.96,$31.96,,,[],False
1026,Me and You and Everyone We Know,Miranda July,2005,$23.96,$31.96,,,[],True
1027,The Great Escape,John Sturges,1963,$23.96,$31.96,,,[],False
1028,"Dance, Girl, Dance",Dorothy Arzner,1940,$23.96,$31.96,,,[],False
1029,Husbands,John Cassavetes,1970,$23.96,$31.96,,,[],False
1030,Scorsese Shorts,Martin Scorsese,,$23.96,$31.96,,,[],False
1031,Wildlife,Paul Dano,2018,$23.96,$31.96,,,[],False
1032,An Unmarried Woman,Paul Mazursky,1978,$23.96,$31.96,,,[],False
1033,The Cameraman,Edward Sedgwick,1928,$23.96,$31.96,,,[],False
1034,Portrait of a Lady on Fire,Céline Sciamma,2019,$23.96,$31.96,,,[],False
1035,Come and See,Elem Klimov,1985,$23.96,$31.96,,,[],True
1036,Bruce Lee: His Greatest Hits,,,,$99.96,,,[],False
1037,The War of the Worlds,Byron Haskin,1953,$23.96,$31.96,,,[],False
1038,Marriage Story,Noah Baumbach,2019,$23.96,$31.96,,,[],False
1039,Town Bloody Hall,Chris Hegedus and D. A. Pennebaker,1979,$23.96,$31.96,,,[],True
1040,Toni,Jean Renoir,1935,$23.96,$31.96,,,[],True
1041,The Comfort of Strangers,Paul Schrader,1990,$23.96,$31.96,,,[],True
1042,Beau travail,Claire Denis,1999,$23.96,$31.96,,,[],True
1043,Christ Stopped at Eboli,Francesco Rosi,1979,$23.96,$31.96,,,[],False
1044,Martin Scorsese’s World Cinema Project No. 3,,,,,$99.96,,[],False
1045,Lucía,Humberto Solás,1968,,,,,['Martin Scorsese’s World Cinema Project No. 3 (Available)'],True
1046,After the Curfew,Usmar Ismail,1954,,,,,['Martin Scorsese’s World Cinema Project No. 3 (Available)'],True
1047,Pixote,Héctor Babenco,1980,,,,,['Martin Scorsese’s World Cinema Project No. 3 (Available)'],True
1048,Dos monjes,Juan Bustillo Oro,1934,,,,,['Martin Scorsese’s World Cinema Project No. 3 (Available)'],True
1049,Soleil Ô,Med Hondo,1970,,,,,['Martin Scorsese’s World Cinema Project No. 3 (Available)'],True
1050,Downpour,Bahram Beyzaie,1972,,,,,['Martin Scorsese’s World Cinema Project No. 3 (Available)'],True
1051,The Elephant Man,David Lynch,1980,$23.96,$31.96,,,[],False
1052,Claudine,John Berry,1974,$23.96,$31.96,,,[],False
1053,The Gunfighter,Henry King,1950,$23.96,$31.96,,,[],False
1054,Parasite,Bong Joon Ho,2019,$23.96,$31.96,,,[],False
1055,Girlfriends,Claudia Weill,1978,$23.96,$31.96,,,[],False
1056,Moonstruck,Norman Jewison,1987,$23.96,$31.96,,,[],False
1057,Ghost Dog: The Way of the Samurai,Jim Jarmusch,1999,$23.96,$31.96,,,[],True
1058,The Irishman,Martin Scorsese,2019,$23.96,$31.96,,,[],False
1059,Crash,David Cronenberg,1996,$23.96,$31.96,,,[],False
1060,Amores perros,Alejandro G. Iñárritu,2000,$23.96,$31.96,,,[],False
1061,Minding the Gap,Bing Liu,2018,$23.96,$31.96,,,[],False
1062,Rolling Thunder Revue: A Bob Dylan Story by Martin Scorsese,Martin Scorsese,2019,$23.96,$31.96,,,[],False
1063,The Ascent,Larisa Shepitko,1977,$23.96,$31.96,,,['Eclipse 11: Larisa Shepitko (Available)'],True
1064,The Parallax View,Alan J. Pakula,1974,$23.96,$31.96,,,[],False
1065,Mandabi,Ousmane Sembène,1968,$23.96,$31.96,,,[],True
1066,Man Push Cart,Ramin Bahrani,2005,$23.96,$31.96,,,[],True
1067,Chop Shop,Ramin Bahrani,2007,$23.96,$31.96,,,[],True
1068,Smooth Talk,Joyce Chopra,1985,$23.96,$31.96,,,[],True
1069,Céline and Julie Go Boating,Jacques Rivette,1974,$23.96,$31.96,,,[],True
1070,Secrets & Lies,Mike Leigh,1996,$23.96,$31.96,,,[],True
1071,Defending Your Life,Albert Brooks,1991,$23.96,$31.96,,,[],False
1072,History Is Made at Night,Frank Borzage,1937,$23.96,$31.96,,,[],True
1073,Memories of Murder,Bong Joon Ho,2003,$23.96,$31.96,,,[],False
1074,Irma Vep,Olivier Assayas,1996,$23.96,$31.96,,,[],True
1075,Fast Times at Ridgemont High,Amy Heckerling,1982,$23.96,$31.96,,,[],False
1076,Merrily We Go to Hell,Dorothy Arzner,1932,$23.96,$31.96,,,[],False
1077,Flowers of Shanghai,Hou Hsiao-hsien,1998,$23.96,$31.96,,,[],True
1078,Nightmare Alley,Edmund Goulding,1947,$23.96,$31.96,,,[],False
1079,Streetwise,Martin Bell,1984,,,,,"['Streetwise/Tiny: The Life of Erin Blackwell (Available)', 'Streetwise/Tiny: The Life of Erin Blackwell (Available)']",True
1080,Tiny: The Life of Erin Blackwell,Martin Bell,2016,,,,,"['Streetwise/Tiny: The Life of Erin Blackwell (Available)', 'Streetwise/Tiny: The Life of Erin Blackwell (Available)']",True
1081,Visions of Eight,"Miloš Forman, Kon Ichikawa, Claude Lelouch, Juri Ozerov, Arthur Penn, Michael Pfleghar, John Schlesinger, and Mai Zetterling",1973,$23.96,$31.96,,,[],True
1082,The Signifyin’ Works of Marlon Riggs,,,$31.96,$39.96,,,[],False
1083,Pariah,Dee Rees,2011,$23.96,$31.96,,,[],False
1084,Mirror,Andrei Tarkovsky,1975,$23.96,$31.96,,,[],True
1085,Bringing Up Baby,Howard Hawks,1938,$23.96,$31.96,,,[],False
1086,Deep Cover,Bill Duke,1992,$23.96,$31.96,,,[],True
1087,Working Girls,Lizzie Borden,1986,$23.96,$31.96,,,[],True
1088,La piscine,Jacques Deray,1969,$23.96,$31.96,,,[],True
1089,After Life,Hirokazu Kore-eda,1998,$23.96,$31.96,,,[],True
1090,Original Cast Album: “Company”,D. A. Pennebaker,1970,$23.96,$31.96,,,[],True
1091,Beasts of No Nation,Cary Joji Fukunaga,2015,$23.96,$31.96,,,[],False
1092,Throw Down,Johnnie To,2004,$23.96,$31.96,,,[],True
1093,The Story of a Three Day Pass,Melvin Van Peebles,1967,,,,,['Melvin Van Peebles: Essential Films (Available)'],True
1094,Watermelon Man,Melvin Van Peebles,1970,,,,,['Melvin Van Peebles: Essential Films (Available)'],False
1095,Sweet Sweetback’s Baadasssss Song,Melvin Van Peebles,1971,,,,,['Melvin Van Peebles: Essential Films (Available)'],True
1096,Don’t Play Us Cheap,Melvin Van Peebles,1972,,,,,['Melvin Van Peebles: Essential Films (Available)'],True
1097,Love & Basketball,Gina Prince-Bythewood,2000,$23.96,$31.96,,,[],False
1098,The Damned,Luchino Visconti,1969,$23.96,$31.96,,,[],False
1099,High Sierra,Raoul Walsh,1941,$23.96,$31.96,,,[],False
1100,The Incredible Shrinking Man,Jack Arnold,1957,$23.96,$31.96,,,[],False
1101,Uncut Gems,Josh Safdie and Benny Safdie,2019,$23.96,$31.96,,$39.96,[],False
1102,Devi,Satyajit Ray,1960,$23.96,$31.96,,,[],True
1103,Once Upon a Time in China: The Complete Films,,,,$99.96,,,[],False
1104,Citizen Kane,Orson Welles,1941,,$39.96,,$47.96,[],False
1105,Menace II Society,Albert Hughes and Allen Hughes,1993,,$31.96,,$39.96,[],False
1106,One Night in Miami . . .,Regina King,2020,$23.96,$31.96,,,[],False
1107,The Learning Tree,Gordon Parks,1969,$23.96,$31.96,,,[],False
1108,The Celebration,Thomas Vinterberg,1998,,$31.96,,,[],True
1109,Time,Garrett Bradley,2020,$23.96,$31.96,,,[],False
1110,The Piano,Jane Campion,1993,,$31.96,,$39.96,[],False
1111,Dick Johnson Is Dead,Kirsten Johnson,2020,$23.96,$31.96,,,[],False
1112,Miller’s Crossing,Joel Coen,1990,,$31.96,,,[],False
1113,Boat People,Ann Hui,1982,$23.96,$31.96,,,[],True
1114,Love Affair,Leo McCarey,1939,$23.96,$31.96,,,[],False
1115,Adoption,Márta Mészáros,1975,$23.96,$31.96,,,[],True
1116,The Flight of the Phoenix,Robert Aldrich,1965,,$31.96,,,[],False
1117,love jones,Theodore Witcher,1997,,$31.96,,,[],False
1118,The Last Waltz,Martin Scorsese,1978,,$31.96,,$39.96,[],False
1119,Miracle in Milan,Vittorio De Sica,1951,$23.96,$31.96,,,[],True
1120,The Girl Can’t Help It,Frank Tashlin,1956,$23.96,$31.96,,,[],False
1121,Eyimofe (This Is My Desire),Arie Esiri and Chuko Esiri,2020,$23.96,$31.96,,,[],True
1122,’Round Midnight,Bertrand Tavernier,1986,$23.96,$31.96,,,[],False
1123,Mr. Klein,Joseph Losey,1976,,$31.96,,,[],True
1124,Chan Is Missing,Wayne Wang,1982,,$31.96,,,[],True
1125,The Funeral,Juzo Itami,1984,$23.96,$31.96,,,[],True
1126,Double Indemnity,Billy Wilder,1944,,$31.96,,$39.96,[],False
1127,Mississippi Masala,Mira Nair,1991,$23.96,$31.96,,,[],True
1128,Farewell Amor,Ekwa Msangi,2020,$23.96,$31.96,,,[],False
1129,Rouge,Stanley Kwan,1987,$23.96,$31.96,,,[],True
1130,Shaft,Gordon Parks,1971,,$31.96,,$39.96,[],False
1131,Pink Flamingos,John Waters,1972,,$31.96,,,[],False
1132,The Worst Person in the World,Joachim Trier,2021,$23.96,$31.96,,,[],False
1133,Okja,Bong Joon Ho,2017,$23.96,$31.96,,$39.96,[],False
1134,Raging Bull,Martin Scorsese,1980,,$31.96,,$39.96,[],False
1135,Devil in a Blue Dress,Carl Franklin,1995,,$31.96,,$39.96,[],False
1136,Drive My Car,Ryusuke Hamaguchi,2021,$23.96,$31.96,,,[],False
1137,Frownland,Ronald Bronstein,2007,,$31.96,,,[],True
1138,Daddy Longlegs,Josh Safdie and Benny Safdie,2009,,$31.96,,,[],False
1139,Hôtel du Nord,Marcel Carné,1938,$23.96,$31.96,,,[],True
1140,Buck and the Preacher,Sidney Poitier,1972,,$31.96,,,[],False
1141,Faya dayi,Jessica Beshir,2021,$23.96,$31.96,,,[],True
1142,Martin Scorsese’s World Cinema Project No. 4,,,,,$99.96,,[],False
1143,Sambizanga,Sarah Maldoror,1972,,,,,['Martin Scorsese’s World Cinema Project No. 4 (Available)'],True
1144,Prisioneros de la tierra,Mario Soffici,1939,,,,,['Martin Scorsese’s World Cinema Project No. 4 (Available)'],False
1145,Chess of the Wind,Mohammad Reza Aslani,1976,,,,,['Martin Scorsese’s World Cinema Project No. 4 (Available)'],False
1146,Muna moto,Dikongué-Pipa,1975,,,,,['Martin Scorsese’s World Cinema Project No. 4 (Available)'],False
1147,Two Girls on the Street,André de Toth,1939,,,,,['Martin Scorsese’s World Cinema Project No. 4 (Available)'],False
1148,Kalpana,Uday Shankar,1948,,,,,['Martin Scorsese’s World Cinema Project No. 4 (Available)'],False
1149,Take Out,Sean Baker and Shih-Ching Tsou,2004,,$31.96,,,[],True
1150,Exotica,Atom Egoyan,1994,$23.96,$31.96,,,[],True
1151,Sound of Metal,Darius Marder,2019,$23.96,$31.96,,$39.96,[],False
1152,Lost Highway,David Lynch,1997,,$31.96,,$39.96,[],True
1153,Arsenic and Old Lace,Frank Capra,1944,$23.96,$31.96,,,[],False
1154,Eve’s Bayou,Kasi Lemmons,1997,,$31.96,,,[],False
1155,Cure,Kiyoshi Kurosawa,1997,,$31.96,,,[],True
1156,La Llorona,Jayro Bustamante,2019,$23.96,$31.96,,,[],False
1157,Daisies,Věra Chytilová,1966,,$31.96,,,['Pearls of the Czech New Wave (Available)'],True
1158,The Power of the Dog,Jane Campion,2021,$23.96,$31.96,,$39.96,[],False
1159,The Infernal Affairs Trilogy,,,,$79.96,,,[],False
1160,Malcolm X,Spike Lee,1992,,$31.96,,$39.96,[],False
1161,WALL·E,Andrew Stanton,2008,,,,$39.96,[],False
1162,Three Films by Mai Zetterling,,,,$63.96,,,[],False
1163,Michael Haneke: Trilogy,,,,$63.96,,,[],False
1164,The Velvet Underground,Todd Haynes,2021,$23.96,$31.96,,,[],False
1165,Cooley High,Michael Schultz,1975,,$31.96,,,[],False
1166,The Adventures of Baron Munchausen,Terry Gilliam,1988,,$31.96,,$39.96,[],False
1167,Imitation of Life,John M. Stahl,1934,$23.96,$31.96,,,[],False
1168,Lars von Trier’s Europe Trilogy,,,,$79.96,,,[],False
1169,"This Is Not a Burial, It’s a Resurrection",Lemohang Jeremiah Mosese,2019,$23.96,$31.96,,,[],True
1170,Bergman Island,Mia Hansen-Løve,2021,$23.96,$31.96,,,[],False
1171,Romeo and Juliet,Franco Zeffirelli,1968,$23.96,$31.96,,,[],False
1172,Two Films by Marguerite Duras,,,$31.96,$47.96,,,[],False
1173,Hollywood Shuffle,Robert Townsend,1987,,$31.96,,,[],False
1174,Last Hurrah for Chivalry,John Woo,1979,,$31.96,,,[],True
1175,Inland Empire,David Lynch,2006,,$31.96,,,[],True
1176,Chilly Scenes of Winter,Joan Micklin Silver,1979,,$31.96,,,[],False
1177,Small Axe,,,,$79.96,,,[],False
1178,Triangle of Sadness,Ruben Östlund,2022,$23.96,$31.96,,$39.96,[],False
1179,Targets,Peter Bogdanovich,1968,$23.96,$31.96,,,[],False
1180,Thelma & Louise,Ridley Scott,1991,,$31.96,,$39.96,[],False
1181,Petite maman,Céline Sciamma,2021,$23.96,$31.96,,,[],False
1182,The Servant,Joseph Losey,1963,,$31.96,,,[],False
1183,Medicine for Melancholy,Barry Jenkins,2008,,$31.96,,,[],False
1184,The Watermelon Woman,Cheryl Dunye,1996,,$31.96,,,[],True
1185,After Hours,Martin Scorsese,1985,,$31.96,,$39.96,[],False
1186,The Ranown Westerns: Five Films Directed by Budd Boetticher,,,,,,$119.96,[],False
1187,One False Move,Carl Franklin,1992,,$31.96,,$39.96,[],False
1188,Dim Sum: A Little Bit of Heart,Wayne Wang,1985,$23.96,$31.96,,,[],True
1189,Bo Widerberg’s New Swedish Cinema,,,,$79.96,,,[],False
1190,Drylongso,Cauleen Smith,1998,$23.96,$31.96,,,[],False
1191,The Trial,Orson Welles,1962,,$31.96,,$39.96,[],False
1192,Moonage Daydream,Brett Morgen,2022,,$31.96,,$39.96,[],False
1193,La Bamba,Luis Valdez,1987,,$31.96,,,[],False
1194,Freaks / The Unknown / The Mystic: Tod Browning’s Sideshow Shockers,,,$31.96,$55.96,,,[],False
1195,The Others,Alejandro Amenábar,2001,,$31.96,,$39.96,[],False
1196,Nanny,Nikyatu Jusu,2022,$23.96,$31.96,,,[],False
1197,Jackie Chan: Emergence of a Superstar,,,,$99.96,,,[],False
1198,Mean Streets,Martin Scorsese,1973,,$31.96,,$39.96,[],False
1199,La cérémonie,Claude Chabrol,1995,$23.96,$31.96,,,[],True
1200,The Red Balloon and Other Stories: Five Films by Albert Lamorisse,,,$39.96,$63.96,,,[],False
1201,Guillermo del Toro’s Pinocchio,Guillermo del Toro and Mark Gustafson,2022,$23.96,$31.96,,$39.96,[],False
,The Samurai Trilogy,,,$47.96,$55.96,,,[],False
,Yojimbo/Sanjuro Box Set,,,,$55.96,,,[],False
,Grey Gardens The Beales of Grey Gardens Box Set,,,$39.96,,,,[],False
,The Killers,Robert Siodmak,1946,,,,,"['The Killers (Available)', 'The Killers (Available)']",False
,The Killers,Don Siegel,1964,,,,,"['The Killers (Available)', 'The Killers (Available)']",False
,A Story of Floating Weeds,Yasujiro Ozu,1934,,,,,['A Story of Floating Weeds/Floating Weeds (Available)'],True
,Floating Weeds,Yasujiro Ozu,1959,,,,,"['A Story of Floating Weeds/Floating Weeds (Available)', 'Essential Art House: 50 Years of Janus Films (Out of Print)']",True
,The Lower Depths,Jean Renoir,1936,,,,,['The Lower Depths (Availability Unsure)'],True
,The Lower Depths,Akira Kurosawa,1957,,,,,"['AK 100: 25 Films by Kurosawa (Out of Print)', 'The Lower Depths (Availability Unsure)']",True
,Rebel Samurai: Sixties Swordplay Classics,,,$79.96,,,,[],False
,Borderline,Kenneth Macpherson,1930,,,,,['Paul Robeson: Portraits of the Artist (Available)'],False
,Paul Robeson: Tribute to an Artist,Saul J. Turell,1979,,,,,['Paul Robeson: Portraits of the Artist (Available)'],True
,Jericho,Thornton Freeland,1937,,,,,['Paul Robeson: Portraits of the Artist (Available)'],False
,Native Land,Leo Hurwitz…,1942,,,,,['Paul Robeson: Portraits of the Artist (Available)'],False
,La Jetée,Chris Marker,1963,,,,,"['La Jetée/Sans Soleil (Available)', 'La Jetée/Sans Soleil (Available)']",True
,Sans Soleil,Chris Marker,1983,,,,,"['La Jetée/Sans Soleil (Available)', 'La Jetée/Sans Soleil (Available)']",True
,America Lost and Found: The BBS Story,,,,$99.96,,,[],False
,The Suitor,Pierre Etaix,1963,,,,,"['Pierre Etaix (Available)', 'Pierre Etaix (Available)']",True
,Yoyo,Pierre Etaix,1965,,,,,"['Pierre Etaix (Available)', 'Pierre Etaix (Available)']",True
,As Long as You’ve Got Your Health,Pierre Etaix,1966,,,,,"['Pierre Etaix (Available)', 'Pierre Etaix (Available)']",True
,Le grand amour,Pierre Etaix,1969,,,,,"['Pierre Etaix (Available)', 'Pierre Etaix (Available)']",True
,Land of Milk and Honey,Pierre Etaix,1971,,,,,"['Pierre Etaix (Available)', 'Pierre Etaix (Available)']",False
,À propos de Nice,Jean Vigo and Boris Kaufman,1930,,,,,"['The Complete Jean Vigo (Available)', 'The Complete Jean Vigo (Available)']",True
,Zéro de conduite,Jean Vigo,1933,,,,,"['The Complete Jean Vigo (Available)', 'The Complete Jean Vigo (Available)']",True
,L’Atalante,Jean Vigo,1934,,,,,"['The Complete Jean Vigo (Available)', 'The Complete Jean Vigo (Available)']",True
,The Tale of Zatoichi,Kenji Misumi,1962,,,,,['Zatoichi: The Blind Swordsman (Available)'],False
,The Tale of Zatoichi Continues,Kazuo Mori,1962,,,,,['Zatoichi: The Blind Swordsman (Available)'],False
,New Tale of Zatoichi,Tokuzo Tanaka,1963,,,,,['Zatoichi: The Blind Swordsman (Available)'],False
,Zatoichi the Fugitive,Tokuzo Tanaka,1963,,,,,['Zatoichi: The Blind Swordsman (Available)'],False
,Zatoichi on the Road,Kimiyoshi Yasuda,1963,,,,,['Zatoichi: The Blind Swordsman (Available)'],False
,Zatoichi and the Chest of Gold,Kazuo Ikehiro,1964,,,,,['Zatoichi: The Blind Swordsman (Available)'],False
,Zatoichi’s Flashing Sword,Kazuo Ikehiro,1964,,,,,['Zatoichi: The Blind Swordsman (Available)'],False
,"Fight, Zatoichi, Fight",Kenji Misumi,1964,,,,,['Zatoichi: The Blind Swordsman (Available)'],False
,Adventures of Zatoichi,Kimiyoshi Yasuda,1964,,,,,['Zatoichi: The Blind Swordsman (Available)'],False
,Zatoichi’s Revenge,Akira Inoue,1965,,,,,['Zatoichi: The Blind Swordsman (Available)'],False
,Zatoichi and the Doomed Man,Kazuo Mori,1965,,,,,['Zatoichi: The Blind Swordsman (Available)'],False
,Zatoichi and the Chess Expert,Kenji Misumi,1965,,,,,['Zatoichi: The Blind Swordsman (Available)'],False
,Zatoichi’s Vengeance,Tokuzo Tanaka,1966,,,,,['Zatoichi: The Blind Swordsman (Available)'],False
