Spine #,Title,Director,Year,DVD,Blu‑ray,Blu-Ray/DVD Combo,4K UHD+Blu-ray Combo,Collectors Sets,On Criterion Channel
204,The Marriage of Maria Braun,Rainer Werner Fassbinder,1979,,,,,['The BRD Trilogy (Available)'],True
205,Veronika Voss,Rainer Werner Fassbinder,1982,,,,,['The BRD Trilogy (Available)'],True
206,Lola,Rainer Werner Fassbinder,1981,,,,,['The BRD Trilogy (Available)'],True
207,The Pornographers,Shohei Imamura,1966,$23.96,,,,[],True
208,A Film Trilogy by Ingmar Bergman,,,$63.96,$79.96,,,[],False
209,Through a Glass Darkly,Ingmar Bergman,1961,,,,,"['A Film Trilogy by Ingmar Bergman (Available)', 'A Film Trilogy by Ingmar Bergman (Available)', 'Ingmar Bergman’s Cinema (Available)']",True
210,Winter Light,Ingmar Bergman,1963,,,,,"['A Film Trilogy by Ingmar Bergman (Available)', 'A Film Trilogy by Ingmar Bergman (Available)', 'Ingmar Bergman’s Cinema (Available)']",True
211,The Silence,Ingmar Bergman,1963,,,,,"['A Film Trilogy by Ingmar Bergman (Available)', 'A Film Trilogy by Ingmar Bergman (Available)', 'Ingmar Bergman’s Cinema (Available)']",True
213,Richard III,Laurence Olivier,1955,$23.96,$31.96,,,"['Olivier’s Shakespeare (Out of Print)', 'Essential Art House: 50 Years of Janus Films (Out of Print)']",True
214,The Devil and Daniel Webster,William Dieterle,1941,$31.96,,,,[],True
215,Knife in the Water,Roman Polanski,1962,$31.96,,,,['Essential Art House: 50 Years of Janus Films (Out of Print)'],True
216,The Rules of the Game,Jean Renoir,1939,$23.96,$31.96,,$39.96,['Essential Art House: 50 Years of Janus Films (Out of Print)'],True
217,Tokyo Story,Yasujiro Ozu,1953,$23.96,$31.96,,,[],True
218,Le cercle rouge,Jean-Pierre Melville,1970,,,,$39.96,[],False
219,La strada,Federico Fellini,1954,,$31.96,,,"['Essential Fellini (Available)', 'Essential Art House: 50 Years of Janus Films (Out of Print)']",True
220,Naked Lunch,David Cronenberg,1991,$23.96,$31.96,,,[],False
221,Ikiru,Akira Kurosawa,1952,$23.96,$31.96,,,"['AK 100: 25 Films by Kurosawa (Out of Print)', 'Essential Art House: 50 Years of Janus Films (Out of Print)']",True
222,Diary of a Country Priest,Robert Bresson,1951,Out Of Print,,,,[],False
223,Maîtresse,Barbet Schroeder,1976,$23.96,,,,[],True
224,Pickup on South Street,Samuel Fuller,1953,$23.96,$31.96,,,[],False
225,Tunes of Glory,Ronald Neame,1960,$23.96,$31.96,,,[],True
226,Onibaba,Kaneto Shindo,1964,$23.96,$31.96,,,[],True
227,Le Corbeau,Henri-Georges Clouzot,1943,,$31.96,,,[],True
228,Salvatore Giuliano,Francesco Rosi,1962,$31.96,,,,[],True
229,Scenes from a Marriage,Ingmar Bergman,1973,$39.96,$39.96,,,['Ingmar Bergman’s Cinema (Available)'],True
230,3 Women,Robert Altman,1977,$31.96,$31.96,,,[],False
231,The Testament of Dr. Mabuse,Fritz Lang,1933,$31.96,,,,[],True
232,A Story of Floating Weeds/Floating Weeds: Two Films by Yasujiro Ozu,,,$31.96,,,,[],False
233,Stray Dog,Akira Kurosawa,1949,$31.96,,,,['AK 100: 25 Films by Kurosawa (Out of Print)'],True
234,The Tin Drum,Volker Schlöndorff,1979,$23.96,$31.96,,,[],True
235,The Leopard,Luchino Visconti,1963,$39.96,$39.96,,,[],False
236,Mamma Roma,Pier Paolo Pasolini,1962,,,,,['Pasolini 101 (Available)'],True
237,Smiles of a Summer Night,Ingmar Bergman,1955,Currently Unavailable,$31.96,,,['Ingmar Bergman’s Cinema (Available)'],True
238,A Woman Is a Woman,Jean-Luc Godard,1961,Out Of Print,,,,[],False
239,The Lower Depths,,,Currently Unavailable,,,,[],False
240,Early Summer,Yasujiro Ozu,1951,$31.96,,,,[],True
241,Stage and Spectacle: Three Films by Jean Renoir,,,Currently Unavailable,,,,[],False
242,The Golden Coach,Jean Renoir,1953,,,,,['Stage and Spectacle: Three Films by Jean Renoir (Availability Unsure)'],True
243,French Cancan,Jean Renoir,1955,,,,,['Stage and Spectacle: Three Films by Jean Renoir (Availability Unsure)'],True
244,Elena and Her Men,Jean Renoir,1956,,,,,['Stage and Spectacle: Three Films by Jean Renoir (Availability Unsure)'],True
245,Port of Shadows,Marcel Carné,1938,Out Of Print,,,,[],False
246,I vitelloni,Federico Fellini,1953,,,,,['Essential Fellini (Available)'],True
247,Slacker,Richard Linklater,1991,$23.96,$31.96,,,[],True
248,Videodrome,David Cronenberg,1983,$23.96,$31.96,,$39.96,[],True
249,The Battle of Algiers,Gillo Pontecorvo,1966,$39.96,$39.96,,,[],True
250,John Cassavetes: Five Films,,,,$99.96,,,[],False
251,Shadows,John Cassavetes,1959,$23.96,,,,['John Cassavetes: Five Films (Available)'],True
252,Faces,John Cassavetes,1968,$31.96,,,,['John Cassavetes: Five Films (Available)'],True
253,A Woman Under the Influence,John Cassavetes,1974,$31.96,,,,['John Cassavetes: Five Films (Available)'],True
254,The Killing of a Chinese Bookie,John Cassavetes,1976,$31.96,,,,['John Cassavetes: Five Films (Available)'],True
255,Opening Night,John Cassavetes,1977,,,,,['John Cassavetes: Five Films (Available)'],True
256,A Constant Forge,Charles Kiselyak,2000,,,,,['John Cassavetes: Five Films (Available)'],False
257,Secret Honor,Robert Altman,1984,$31.96,,,,[],True
258,Tanner ’88,Robert Altman,1988,$23.96,,,,[],True
259,Fat Girl,Catherine Breillat,2001,$23.96,$31.96,,,[],True
260,Eyes Without a Face,Georges Franju,1960,,$31.96,,,[],True
261,Fanny and Alexander Box Set,,,$47.96,$47.96,,,[],False
262,Fanny and Alexander: Television Version,Ingmar Bergman,1983,,,,,"['Fanny and Alexander Box Set (Available)', 'Fanny and Alexander Box Set (Available)', 'Ingmar Bergman’s Cinema (Available)']",True
263,Fanny and Alexander: Theatrical Version,Ingmar Bergman,1982,$23.96,,,,"['Fanny and Alexander Box Set (Available)', 'Fanny and Alexander Box Set (Available)', 'Ingmar Bergman’s Cinema (Available)']",True
264,The Making of Fanny and Alexander,Ingmar Bergman,1982,,,,,"['Fanny and Alexander Box Set (Available)', 'Fanny and Alexander Box Set (Available)']",True
265,Short Cuts,Robert Altman,1993,$23.96,$31.96,,,[],False
266,The King of Kings,Cecil B. DeMille,1927,Currently Unavailable,,,,[],True
267,Kagemusha,Akira Kurosawa,1980,$23.96,$31.96,,,['AK 100: 25 Films by Kurosawa (Out of Print)'],False
